stamp,open,high,low,close,volume
2023-09-10 22:00,15308.0,15313.0,15303.75,15305.0,229.0
2023-09-10 22:01,15305.75,15309.5,15304.75,15307.0,77.0
2023-09-10 22:02,15307.25,15307.25,15306.0,15306.5,17.0
2023-09-10 22:03,15306.0,15306.5,15301.0,15301.0,79.0
2023-09-10 22:04,15301.0,15302.0,15300.0,15300.5,48.0
2023-09-10 22:05,15301.5,15302.0,15299.25,15300.0,110.0
2023-09-10 22:06,15299.75,15300.75,15299.0,15300.0,58.0
2023-09-10 22:07,15299.75,15304.75,15298.75,15304.5,117.0
2023-09-10 22:08,15304.5,15306.25,15303.25,15306.25,58.0
2023-09-10 22:09,15306.25,15308.25,15302.0,15308.0,97.0
2023-09-10 22:10,15308.25,15308.25,15306.25,15306.25,30.0
2023-09-10 22:11,15306.75,15308.25,15306.25,15307.0,51.0
2023-09-10 22:12,15307.5,15308.0,15306.5,15307.75,46.0
2023-09-10 22:13,15307.75,15308.25,15307.75,15308.0,15.0
2023-09-10 22:14,15308.25,15309.0,15307.5,15308.25,23.0
2023-09-10 22:15,15308.0,15308.75,15307.5,15307.5,18.0
2023-09-10 22:16,15307.25,15307.5,15305.5,15306.75,26.0
2023-09-10 22:17,15307.0,15307.0,15305.75,15307.0,10.0
2023-09-10 22:18,15306.75,15307.5,15306.75,15307.5,17.0
2023-09-10 22:19,15307.25,15307.25,15305.0,15305.25,33.0
2023-09-10 22:20,15305.5,15307.5,15304.75,15304.75,29.0
2023-09-10 22:21,15304.75,15306.5,15304.75,15306.25,12.0
2023-09-10 22:22,15305.75,15312.25,15305.75,15310.5,116.0
2023-09-10 22:23,15310.25,15310.25,15306.25,15308.25,54.0
2023-09-10 22:24,15309.0,15310.0,15307.75,15310.0,27.0
2023-09-10 22:25,15310.0,15310.0,15308.0,15308.0,19.0
2023-09-10 22:26,15308.25,15308.75,15308.25,15308.75,8.0
2023-09-10 22:27,15309.0,15310.5,15309.0,15309.25,17.0
2023-09-10 22:28,15309.0,15309.75,15308.75,15309.0,5.0
2023-09-10 22:29,15309.0,15309.25,15308.75,15308.75,4.0
2023-09-10 22:30,15308.5,15309.5,15308.0,15308.75,19.0
2023-09-10 22:31,15309.25,15311.5,15309.25,15311.5,21.0
2023-09-10 22:32,15312.0,15313.5,15310.0,15310.75,58.0
2023-09-10 22:33,15312.0,15314.25,15310.0,15312.25,65.0
2023-09-10 22:34,15311.75,15313.5,15311.75,15313.5,14.0
2023-09-10 22:35,15313.5,15316.75,15311.25,15314.0,87.0
2023-09-10 22:36,15313.0,15313.0,15310.5,15310.5,44.0
2023-09-10 22:37,15310.5,15310.5,15308.5,15309.5,30.0
2023-09-10 22:38,15309.5,15311.5,15309.5,15310.75,38.0
2023-09-10 22:39,15310.75,15312.5,15310.75,15312.25,18.0
2023-09-10 22:40,15313.75,15316.75,15313.0,15314.25,59.0
2023-09-10 22:41,15315.5,15317.75,15315.5,15317.25,39.0
2023-09-10 22:42,15317.5,15321.25,15316.0,15320.5,119.0
2023-09-10 22:43,15320.75,15321.25,15317.75,15319.5,48.0
2023-09-10 22:44,15318.5,15318.5,15315.75,15316.75,41.0
2023-09-10 22:45,15317.0,15319.25,15317.0,15318.25,38.0
