stamp,open,high,low,close,volume
2018-06-10 22:00,7135.0,7136.0,7125.0,7136.0,184.0
2018-06-10 22:01,7136.5,7138.25,7127.5,7128.5,50.0
2018-06-10 22:02,7128.5,7136.0,7128.25,7135.75,43.0
2018-06-10 22:03,7135.0,7137.25,7133.0,7133.5,29.0
2018-06-10 22:04,7133.25,7135.25,7132.75,7134.25,32.0
2018-06-10 22:05,7135.5,7137.75,7135.25,7136.25,24.0
2018-06-10 22:06,7137.75,7140.0,7137.75,7138.0,23.0
2018-06-10 22:07,7138.5,7140.75,7137.5,7139.0,25.0
2018-06-10 22:08,7139.0,7140.0,7137.5,7137.5,15.0
2018-06-10 22:09,7137.5,7137.5,7135.25,7135.75,16.0
2018-06-10 22:10,7135.5,7135.5,7131.75,7131.75,33.0
2018-06-10 22:11,7131.75,7132.25,7131.0,7131.0,11.0
2018-06-10 22:12,7132.5,7134.0,7131.25,7132.5,34.0
2018-06-10 22:13,7132.5,7135.25,7132.5,7135.0,12.0
2018-06-10 22:14,7135.25,7135.75,7135.0,7135.75,9.0
2018-06-10 22:15,7135.75,7135.75,7133.75,7133.75,12.0
2018-06-10 22:16,7134.5,7134.5,7132.5,7132.5,8.0
2018-06-10 22:17,7132.25,7132.75,7131.25,7132.5,26.0
2018-06-10 22:18,7132.5,7133.0,7132.25,7132.25,6.0
2018-06-10 22:19,7133.0,7137.25,7133.0,7137.25,90.0
2018-06-10 22:20,7137.25,7140.0,7137.25,7140.0,60.0
2018-06-10 22:21,7140.25,7142.0,7139.5,7141.25,33.0
2018-06-10 22:22,7142.0,7143.0,7141.75,7141.75,16.0
2018-06-10 22:23,7140.75,7140.75,7138.25,7139.0,10.0
2018-06-10 22:24,7139.0,7139.5,7138.25,7139.25,12.0
2018-06-10 22:25,7139.75,7140.0,7139.5,7139.5,6.0
2018-06-10 22:26,7138.75,7139.5,7137.75,7137.75,12.0
2018-06-10 22:27,7139.25,7141.25,7139.25,7141.25,8.0
2018-06-10 22:28,7141.5,7141.75,7141.25,7141.75,3.0
2018-06-10 22:29,7141.75,7142.0,7141.5,7141.5,9.0
2018-06-10 22:30,7141.25,7141.25,7140.25,7141.0,9.0
2018-06-10 22:31,7140.5,7140.5,7139.75,7139.75,2.0
2018-06-10 22:32,7140.25,7140.5,7139.75,7139.75,6.0
2018-06-10 22:33,7140.25,7140.5,7140.25,7140.5,2.0
2018-06-10 22:35,7140.5,7141.0,7139.0,7139.0,43.0
2018-06-10 22:36,7139.25,7139.5,7139.0,7139.5,7.0
2018-06-10 22:37,7139.0,7139.75,7139.0,7139.0,13.0
2018-06-10 22:38,7139.0,7139.0,7139.0,7139.0,2.0
2018-06-10 22:39,7138.25,7138.25,7138.0,7138.25,7.0
2018-06-10 22:40,7138.5,7138.5,7135.75,7136.25,23.0
2018-06-10 22:41,7136.25,7136.25,7135.5,7135.5,7.0
2018-06-10 22:42,7136.25,7136.25,7135.0,7135.25,5.0
2018-06-10 22:43,7135.0,7135.25,7134.75,7134.75,17.0
2018-06-10 22:44,7134.5,7134.5,7134.5,7134.5,1.0
2018-06-10 22:45,7135.0,7135.75,7135.0,7135.25,4.0
2018-06-10 22:46,7136.0,7137.0,7136.0,7136.75,7.0
2018-06-10 22:47,7137.25,7138.0,7137.0,7137.5,9.0
2018-06-10 22:48,7138.5,7138.5,7136.75,7136.75,11.0
2018-06-10 22:49,7136.5,7137.0,7136.0,7136.0,8.0
2018-06-10 22:50,7135.5,7135.75,7135.5,7135.75,2.0
2018-06-10 22:51,7135.75,7135.75,7135.0,7135.0,10.0
2018-06-10 22:52,7134.75,7135.0,7134.5,7135.0,5.0
2018-06-10 22:53,7135.0,7136.0,7135.0,7135.5,14.0
2018-06-10 22:54,7135.75,7135.75,7135.0,7135.0,4.0
2018-06-10 22:55,7135.5,7135.75,7135.25,7135.75,8.0
2018-06-10 22:56,7135.0,7135.0,7134.75,7134.75,3.0
2018-06-10 22:57,7135.5,7135.5,7135.5,7135.5,2.0
2018-06-10 22:58,7135.5,7136.0,7135.5,7136.0,8.0
2018-06-10 23:00,7136.0,7136.0,7136.0,7136.0,16.0
2018-06-10 23:01,7135.75,7135.75,7135.25,7135.25,5.0
2018-06-10 23:02,7135.0,7135.0,7134.75,7134.75,3.0
2018-06-10 23:03,7134.5,7134.5,7133.25,7133.5,22.0
2018-06-10 23:04,7133.25,7133.25,7132.75,7132.75,4.0
2018-06-10 23:05,7132.5,7133.25,7132.25,7133.0,15.0
2018-06-10 23:07,7133.25,7133.5,7133.0,7133.0,17.0
2018-06-10 23:08,7133.75,7135.0,7133.75,7134.75,9.0
2018-06-10 23:09,7134.75,7134.75,7134.75,7134.75,2.0
2018-06-10 23:10,7134.5,7134.5,7134.0,7134.0,5.0
2018-06-10 23:11,7134.5,7134.5,7133.0,7133.0,5.0
2018-06-10 23:12,7133.0,7133.0,7133.0,7133.0,2.0
2018-06-10 23:13,7132.75,7133.25,7132.75,7133.25,2.0
2018-06-10 23:14,7133.5,7133.5,7133.25,7133.25,12.0
2018-06-10 23:15,7133.25,7133.25,7133.0,7133.0,7.0
2018-06-10 23:16,7132.5,7132.5,7132.0,7132.0,16.0
2018-06-10 23:17,7131.75,7131.75,7131.25,7131.75,29.0
2018-06-10 23:18,7131.75,7131.75,7130.5,7130.5,24.0
2018-06-10 23:19,7130.75,7130.75,7128.0,7128.0,61.0
2018-06-10 23:20,7128.5,7128.5,7128.0,7128.5,15.0
2018-06-10 23:21,7128.25,7128.75,7128.0,7128.75,9.0
2018-06-10 23:22,7128.5,7128.5,7128.25,7128.25,16.0
2018-06-10 23:23,7129.0,7129.5,7129.0,7129.5,7.0
2018-06-10 23:24,7129.5,7130.75,7129.5,7130.75,16.0
2018-06-10 23:25,7131.25,7131.25,7130.0,7130.0,11.0
2018-06-10 23:26,7129.5,7130.75,7129.5,7129.75,17.0
2018-06-10 23:27,7129.5,7130.0,7129.25,7130.0,21.0
2018-06-10 23:28,7130.25,7130.5,7129.75,7130.0,12.0
2018-06-10 23:29,7130.0,7130.25,7129.75,7130.25,9.0
2018-06-10 23:30,7130.5,7130.5,7129.75,7129.75,8.0
2018-06-10 23:31,7129.25,7129.5,7128.5,7128.5,12.0
2018-06-10 23:32,7128.75,7129.5,7128.75,7129.25,7.0
2018-06-10 23:33,7129.0,7129.5,7129.0,7129.5,2.0
2018-06-10 23:34,7129.75,7130.0,7129.75,7130.0,4.0
2018-06-10 23:35,7129.75,7129.75,7129.5,7129.5,3.0
2018-06-10 23:36,7129.25,7129.5,7128.75,7129.25,16.0
2018-06-10 23:37,7129.25,7130.0,7129.25,7130.0,6.0
2018-06-10 23:38,7130.25,7131.0,7130.25,7130.75,17.0
2018-06-10 23:39,7131.0,7131.5,7130.75,7131.5,5.0
2018-06-10 23:40,7131.5,7132.75,7131.5,7132.75,9.0
2018-06-10 23:41,7133.25,7133.25,7132.5,7132.5,7.0
2018-06-10 23:42,7133.0,7133.0,7132.5,7132.5,3.0
2018-06-10 23:43,7132.5,7133.25,7132.5,7133.0,18.0
2018-06-10 23:44,7132.75,7132.75,7132.5,7132.75,10.0
2018-06-10 23:45,7133.0,7133.0,7132.75,7132.75,11.0
2018-06-10 23:46,7133.25,7133.25,7132.5,7132.5,5.0
2018-06-10 23:47,7132.5,7132.75,7132.25,7132.75,5.0
2018-06-10 23:48,7133.0,7134.25,7133.0,7134.25,8.0
2018-06-10 23:49,7134.25,7134.5,7134.25,7134.5,5.0
2018-06-10 23:50,7134.75,7136.75,7134.75,7136.75,37.0
2018-06-10 23:51,7136.75,7136.75,7136.75,7136.75,7.0
2018-06-10 23:52,7136.25,7136.25,7135.25,7135.5,10.0
2018-06-10 23:53,7135.5,7136.75,7135.5,7136.75,9.0
2018-06-10 23:54,7136.75,7137.5,7136.75,7137.25,14.0
